title;short_description;description;category;original_price;sale_price;regular_price;images;url
Moyra Color/Glitter Acryl 78 Vintage Brown;;;Moyra Glitter & Color Acrylic;;;4,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/0e0e4849cd0fb4a4b60042f3831d32d04ccff907.jpg;https://www.nagelproduct.nl/a-55321186/moyra-glitter-color-acrylic/moyra-color-glitter-acryl-78-vintage-brown/
Moyra Spider Gel No.6 Red;;;Moyra Spider Gel;;;8,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/7b398bab1ae8f767a370c79c221afe8407f876ee.jpg;https://www.nagelproduct.nl/a-66341593/moyra-spider-gel/moyra-spider-gel-no-6-red/
Moyra/Vamp Aquarelle;;;Moyra Watercolours;;;6,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/bc750c00873d6c27d0930451c553925a28f0e0f0.jpg;https://www.nagelproduct.nl/a-60291016/moyra-watercolours/moyra-vamp-aquarelle/
Moyra Mini Gelpolish No.223;Super gave Moyra Mini Gelpolish kleuren die op elke nagel kan met de bijbehorende base & top in 1.;"<p>Super gave Moyra Mini Gelpolish kleuren die op elke nagel kan met de bijbehorende base &amp; top in 1.</p><p>Uitharden: LED=30sec. UV=2min.</p><p>Inhoud: 5,5ml</p>";Moyra Gelpolish Mini;;;6,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/2b66e3f3191d52a12d49df9e41d7458d5d0f0124.jpg,https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/article/d738fa5c6fc2160a83b8b0a9a51491cb510f95dc.jpg;https://www.nagelproduct.nl/a-62626810/moyra-gelpolish-mini/moyra-mini-gelpolish-no-223/
Moyra Stardust Topcoat;Super gave topcoat die over alle nagellak kleuren kan om een geweldig effect te krijgen.;<p>Super gave topcoat die over alle nagellak kleuren kan om een geweldig effect te krijgen.</p>;Moyra Nail Polish;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/90bf10a855324d40852c74a3ab402e1aa5addefa.jpg;https://www.nagelproduct.nl/a-56684695/moyra-nail-polish/moyra-stardust-topcoat/
Moyra Acrylic Powder French Pink 140g;;;Moyra Acrylic Powder & Liquid;;;39,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/2c381aac69a0bcffa01ab38d6dc5e47faebad8fe.jpg,https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/article/7f1dcbdcd31126ee6e1a91bee1aa43bec2016d26.jpg,https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/article/cef3b460f5fa962ba12078cd992e39b47f07113b.jpg;https://www.nagelproduct.nl/a-58914550/moyra-acrylic-powder-liquid/moyra-acrylic-powder-french-pink-140g/
Moyra Fusion AcrylGel Cover Cream Rose 50g pot;;;Moyra Fusion AcrylGel;;;44,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/50b17e787298142de8e5088d0e93df43820d3052.jpg;https://www.nagelproduct.nl/a-65847436/moyra-fusion-acrylgel/moyra-fusion-acrylgel-cover-cream-rose-50g-pot/
Moyra Rugzak;;;Moyra Accesoires;;;2,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/21383a5f87db335ac2c32f05a7dab2f4a972874e.jpg,https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/article/6e8aa8c2c2a3eaf746495bc5e336b62d06cddcd6.jpg;https://www.nagelproduct.nl/a-61639151/moyra-accesoires/moyra-rugzak/
Moyra SuperShine Color Gel 544 Confidence;;;Moyra SuperShine Color Gel;;;8,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/07981d44958cf64cc90750220a0425981c8a8842.jpg;https://www.nagelproduct.nl/a-55311932/moyra-supershine-color-gel/moyra-supershine-color-gel-544-confidence/
Moyra Mermaid Topcoat;Super gave topcoat die over alle nagellak kleuren kan om een geweldig effect te krijgen.;<p>Super gave topcoat die over alle nagellak kleuren kan om een geweldig effect te krijgen.</p>;Moyra Nail Polish;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/3102e6acb33030ea64abb149bb2e28d740967d5f.jpg;https://www.nagelproduct.nl/a-56684692/moyra-nail-polish/moyra-mermaid-topcoat/
